index,subsystem,toc_title,page_title,url,chars,text_file,html_file,error
61,Mobius Claims,The Payment Authorization Levels Page,The Payment Authorization Levels Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Payment_Authorization_Levels_Page.htm,1787,mobius_output\pages\0061_The_Payment_Authorization_Levels_Page.txt,mobius_output\html\0061_The_Payment_Authorization_Levels_Page.html,
62,Mobius Claims,The Payments Page,The Payments Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Payments_page.htm,1921,mobius_output\pages\0062_The_Payments_Page.txt,mobius_output\html\0062_The_Payments_Page.html,
63,Mobius Claims,The Permission Groups Page,The Permission Groups Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Permission_Group_Configuration_Page.htm,4922,mobius_output\pages\0063_The_Permission_Groups_Page.txt,mobius_output\html\0063_The_Permission_Groups_Page.html,
64,Mobius Claims,The Policy View Page,The Policy View Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Policy_View_page.htm,4996,mobius_output\pages\0064_The_Policy_View_Page.txt,mobius_output\html\0064_The_Policy_View_Page.html,
65,Mobius Claims,The Print Histories Page,The Print Histories Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Print_History_Page.htm,1329,mobius_output\pages\0065_The_Print_Histories_Page.txt,mobius_output\html\0065_The_Print_Histories_Page.html,
66,Mobius Claims,The Locked Records Page,The Locked Records Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Records_Locked_Page.htm,1683,mobius_output\pages\0066_The_Locked_Records_Page.txt,mobius_output\html\0066_The_Locked_Records_Page.html,
67,Mobius Claims,The Search Page,The Search Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Search_Page_Policy.htm,6568,mobius_output\pages\0067_The_Search_Page.txt,mobius_output\html\0067_The_Search_Page.html,
68,Mobius Claims,The Reserve Sections Page,The Reserve Sections Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Section_Configuration_Page.htm,11132,mobius_output\pages\0068_The_Reserve_Sections_Page.txt,mobius_output\html\0068_The_Reserve_Sections_Page.html,
69,Mobius Claims,The Summary Page,The Summary Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Summary_page.htm,7197,mobius_output\pages\0069_The_Summary_Page.txt,mobius_output\html\0069_The_Summary_Page.html,
70,Mobius Claims,The Supplier Maintenance Page,The Supplier Maintenance Page,https://supportcentre.opengi.co.uk/mobiusguides/Subsystems/Mobius_Claims/MC/TCC_-_Supplier_Maintenance_Page.htm,4069,mobius_output\pages\0070_The_Supplier_Maintenance_Page.txt,mobius_output\html\0070_The_Supplier_Maintenance_Page.html,
